"Name","Compare","Pos","Age","Shoots","Team","GP","G","A","PTS","PTS/GP","Season Pace","82GP Pace","GWG","PPP","PPTOI","%PP","TOI","SOG","+/-","PIM","Yrs","Sal","Caphit","AAV"
"MARC MCLAUGHLIN","","R","24","R","BOS","2","0","0","0","0.00","0","0","0","0","00:51","8.5","09:41","3","-1","2","1","$0.93M","$0.88M","$0.93M"
"ALEX STEEVES","","L","23","L","TOR","3","0","0","0","0.00","0","0","0","0","00:03","1.2","07:51","3","-2","0","1","$0.83M","$0.83M","$0.83M"
"AUSTIN STRAND","","D","26","R","","5","0","0","0","0.00","0","0","0","0","00:01","0.3","12:24","5","-2","2","0","$0.75M","$0.75M","$0.75M"
"MAX WILLMAN","","L","28","L","","9","0","0","0","0.00","0","0","0","0","00:00","0.0","08:58","9","-3","4","1","$0.75M","$0.75M","$0.75M"
"BRAD MALONE","","L","34","L","EDM","10","0","0","0","0.00","0","0","0","0","00:05","1.6","07:41","7","-4","6","1","$0.75M","$0.76M","$0.76M"
"ELLIOT DESNOYERS","","L","21","L","PHI","4","0","0","0","0.00","0","0","0","0","00:28","11.3","13:22","3","-2","0","2","$0.84M","$0.83M","$0.85M"
"LASSI THOMSON","","D","23","R","OTT","2","0","0","0","0.00","0","0","0","0","00:06","1.5","10:54","1","-2","4","1","$0.83M","$0.86M","$1.29M"
"MIKE HARDMAN","","L","24","L","CHI","8","0","0","0","0.00","0","0","0","0","00:04","1.2","10:10","7","-2","0","1","$0.75M","$0.80M","$0.80M"
"DAN RENOUF","","D","29","L","BOS","1","0","0","0","0.00","0","0","0","0","00:00","0.0","11:34","5","-3","0","1","$0.75M","$0.76M","$0.76M"
"LUCAS CARLSSON","","D","26","L","FLA","2","0","0","0","0.00","0","0","0","0","00:00","0.0","10:06","2","-1","2","1","$0.80M","$0.80M","$0.80M"
"MARCO KASPER","","C","19","L","DET","1","0","0","0","0.00","0","0","0","0","00:00","0.0","14:59","1","0","0","3","0","$0.95M","$1.95M"
"ADAM RASKA","","R","22","R","S.J","3","0","0","0","0.00","0","0","0","0","00:00","0.0","11:55","1","0","0","1","$0.84M","$0.85M","$0.90M"
"CONNOR MCMICHAEL","","L","22","L","WSH","6","0","0","0","0.00","0","0","0","0","00:01","0.2","08:52","2","0","5","1","$0.83M","$0.86M","$0.86M"
"CALLAHAN BURKE","","C","26","R","CAR","2","0","0","0","0.00","0","0","0","0","00:00","0.0","08:49","2","-1","0","1","$0.75M","$0.75M","$0.75M"
"JACKSON LACOMBE","","D","22","L","ANA","2","0","0","0","0.00","0","0","0","0","01:18","21.7","18:29","1","-1","0","1","$0.93M","$0.93M","$1.39M"
"DRAKE CAGGIULA","","L","29","L","EDM","4","0","0","0","0.00","0","0","0","0","00:00","0.0","06:36","2","-1","0","2","$0.75M","$0.75M","$0.75M"
"MIKHAIL MALTSEV","","C","25","L","L.A","5","0","0","0","0.00","0","0","0","0","00:00","0.0","06:36","4","0","0","1","$0.80M","$0.80M","$0.80M"
"JAKE LESCHYSHYN","","C","24","L","NYR","35","0","0","0","0.00","0","0","0","0","00:01","0.4","09:08","31","-10","8","2","$0.75M","$0.77M","$0.77M"
"SAMUEL KNAZKO","","D","21","L","CBJ","2","0","0","0","0.00","0","0","0","0","00:00","0.0","15:39","0","0","0","2","$0.84M","$0.85M","$0.90M"
"TYCE THOMPSON","","C","24","R","N.J","2","0","0","0","0.00","0","0","0","0","00:00","0.0","08:39","1","-1","0","1","$0.75M","$0.76M","$0.76M"
"DARREN HELM","","C","36","L","","11","0","0","0","0.00","0","0","0","0","00:00","0.0","09:00","10","-1","4","0","$1.25M","$1.25M","$1.25M"
"CHRIS WAGNER","","R","32","R","COL","1","0","0","0","0.00","0","0","0","0","00:00","0.0","12:36","0","0","0","1","$1.00M","$1.35M","$1.35M"
"SHANE BOWERS","","C","24","L","N.J","1","0","0","0","0.00","0","0","0","0","00:00","0.0","01:46","1","0","0","1","$0.75M","$0.75M","$0.75M"
"MARIAN STUDENIC","","L","24","L","SEA","3","0","0","0","0.00","0","0","0","0","00:00","0.0","08:41","4","-1","0","1","$0.75M","$0.75M","$0.75M"
"FREDRIK KARLSTROM","","C","25","L","DAL","5","0","0","0","0.00","0","0","0","0","00:00","0.0","09:33","6","1","0","1","$0.75M","$0.75M","$0.75M"
"ARNAUD DURANDEAU","","L","24","L","NYI","4","0","0","0","0.00","0","0","0","0","00:59","20.4","13:00","9","1","2","1","$0.75M","$0.76M","$0.76M"
"TAYLOR FEDUN","","D","35","R","PIT","4","0","0","0","0.00","0","0","0","0","00:00","0.0","11:04","5","0","0","1","$0.75M","$0.76M","$0.76M"
"JEFFREY VIEL","","L","26","L","WPG","4","0","0","0","0.00","0","0","0","0","00:04","0.9","09:10","4","0","2","1","$0.75M","$0.75M","$0.75M"
"MARKUS NIEMELAINEN","","D","25","L","EDM","23","0","0","0","0.00","0","0","0","0","00:01","0.3","10:02","16","3","4","1","$0.75M","$0.76M","$0.76M"
"MATTHEW KESSEL","","D","23","R","STL","2","0","0","0","0.00","0","0","0","0","00:00","0.0","15:10","3","-1","0","1","$0.84M","$0.88M","$0.93M"
"SEMYON DER-ARGUCHINTSEV","","C","23","R","TOR","1","0","0","0","0.00","0","0","0","0","00:54","22.5","07:16","0","1","0","0","$0.75M","$0.77M","$0.77M"
"VINNI LETTIERI","","R","28","R","MIN","1","0","0","0","0.00","0","0","0","0","00:00","0.0","09:50","1","-1","0","2","$0.75M","$0.75M","$0.75M"
"BROCK FABER","","D","21","R","MIN","2","0","0","0","0.00","0","0","0","0","00:00","0.0","20:04","1","2","0","2","$0.93M","$0.93M","$1.01M"
"BO GROULX","","C","23","L","ANA","2","0","0","0","0.00","0","0","0","0","00:00","0.0","16:21","2","0","0","1","$0.83M","$0.82M","$0.91M"
"ROLAND MCKEOWN","","D","27","R","NSH","6","0","0","0","0.00","0","0","0","0","00:00","0.0","12:59","3","1","8","1","$0.75M","$0.76M","$0.76M"
"MATT CORONATO","","R","20","R","CGY","1","0","0","0","0.00","0","0","0","0","00:00","0.0","14:38","4","1","2","2","$0.93M","$0.93M","$1.49M"
"NICK SWANEY","","R","26","R","MIN","1","0","0","0","0.00","0","0","0","0","00:20","16.7","09:33","0","0","0","1","$0.75M","$0.75M","$0.75M"
"JEREMY DAVIES","","D","26","L","BUF","1","0","0","0","0.00","0","0","0","0","00:00","0.0","08:33","1","0","2","1","$0.75M","$0.75M","$0.75M"
"RILEY TUFTE","","L","25","L","COL","3","0","0","0","0.00","0","0","0","0","00:00","0.0","07:57","1","-1","0","1","$0.75M","$0.75M","$0.75M"
"DILLON HEATHERINGTON","","D","28","L","OTT","3","0","0","0","0.00","0","0","0","0","00:00","0.0","09:16","1","-3","0","1","$0.75M","$0.76M","$0.76M"
"ANTON LEVTCHI","","L","27","L","","2","0","0","0","0.00","0","0","0","0","00:21","3.4","09:35","1","0","0","0","$0.84M","$0.84M","$0.93M"
"GLENN GAWDIN","","C","26","R","ANA","3","0","0","0","0.00","0","0","0","0","00:38","13.8","09:36","3","-1","0","1","$0.75M","$0.76M","$0.76M"
"JONATHAN GRUDEN","","C","23","L","PIT","3","0","0","0","0.00","0","0","0","0","00:00","0.0","05:20","0","0","0","1","$0.75M","$0.79M","$0.80M"
"FILIP HALLANDER","","C","23","L","PIT","2","0","0","0","0.00","0","0","0","0","00:00","0.0","09:58","0","0","0","0","$0.75M","$0.76M","$0.91M"
"WILL CUYLLE","","L","21","L","NYR","4","0","0","0","0.00","0","0","0","0","00:03","1.2","06:58","1","-2","10","2","$0.84M","$0.83M","$0.90M"
"JEAN-SEBASTIEN DEA","","C","29","R","","4","0","0","0","0.00","0","0","0","0","00:00","0.0","09:27","1","-2","0","1","$0.75M","$0.76M","$0.76M"
"GUSTAV OLOFSSON","","D","28","L","SEA","3","0","0","0","0.00","0","0","0","0","00:03","1.0","12:56","6","1","0","2","$0.75M","$0.75M","$0.75M"
"MAX LAJOIE","","D","25","L","TOR","3","0","0","0","0.00","0","0","0","0","00:03","1.4","07:51","2","0","0","1","$0.75M","$0.75M","$0.75M"
"MATTHEW HIGHMORE","","R","27","L","OTT","2","0","0","0","0.00","0","0","0","0","01:09","14.0","10:45","2","1","0","1","$0.75M","$0.75M","$0.75M"
"RILEY SHEAHAN","","L","31","L","","2","0","0","0","0.00","0","0","0","0","00:00","0.0","08:19","0","-2","4","0","$0.95M","$0.95M","$0.95M"
"ONDREJ KASE","","R","27","R","","1","0","0","0","0.00","0","0","0","0","01:13","30.4","11:02","0","0","0","0","$1.50M","$1.50M","$1.50M"
"VLADISLAV KOLYACHONOK","","D","22","L","ARI","2","0","0","0","0.00","0","0","0","0","00:00","0.0","13:46","2","0","0","1","$0.75M","$0.79M","$0.91M"
"JACOB MOVERARE","","D","25","L","L.A","2","0","0","0","0.00","0","0","0","0","00:00","0.0","14:58","6","-1","0","1","$0.75M","$0.76M","$0.76M"
"ALEX GALCHENYUK","","L","29","L","","11","0","0","0","0.00","0","0","0","0","00:23","6.4","07:06","8","-8","4","1","$0.75M","$0.75M","$0.75M"
"NIKITA SOSHNIKOV","","R","30","L","","3","0","0","0","0.00","0","0","0","0","00:00","0.0","09:56","4","-2","0","0","$0.75M","$0.75M","$0.75M"
"NATHAN SMITH","","C","25","R","ARI","4","0","0","0","0.00","0","0","0","0","00:00","0.0","07:27","2","-1","4","1","$0.93M","$0.88M","$1.35M"
"ANTON STRALMAN","","D","37","R","","8","0","0","0","0.00","0","0","0","0","00:00","0.0","15:22","3","-3","2","0","$1.00M","$1.00M","$1.00M"
"TARO HIROSE","","L","27","L","DET","3","0","0","0","0.00","0","0","0","0","00:00","0.0","10:20","2","-2","2","1","$0.85M","$0.85M","$0.85M"
"JAMES HAMBLIN","","L","24","L","EDM","10","0","0","0","0.00","0","0","0","0","00:06","2.2","08:52","12","-3","2","1","$0.80M","$0.81M","$0.81M"
"TYLER BENSON","","L","25","L","","2","0","0","0","0.00","0","0","0","0","00:15","3.7","06:17","0","0","0","0","$0.75M","$0.75M","$0.75M"
"ANTON BLIDH","","L","28","L","NYR","14","0","0","0","0.00","0","0","0","0","00:00","0.0","06:35","9","-2","4","2","$0.75M","$0.75M","$0.75M"
"CHARLES HUDON","","L","29","L","","9","0","0","0","0.00","0","0","0","0","00:53","17.9","10:47","18","-2","2","0","$0.75M","$0.75M","$0.75M"
"DMITRI SAMORUKOV","","D","24","L","","2","0","0","0","0.00","0","0","0","0","00:00","0.0","14:53","1","-1","2","0","$0.78M","$0.78M","$0.78M"
"CJ SUESS","","L","29","L","","1","0","0","0","0.00","0","0","0","0","00:00","0.0","05:50","0","-1","2","0","$0.78M","$0.78M","$0.78M"
"MATTHEW PHILLIPS","","R","25","R","WSH","2","0","0","0","0.00","0","0","0","0","02:51","41.8","09:02","1","0","2","1","$0.75M","$0.75M","$0.75M"
"HENRIK BORGSTROM","","L","26","L","WSH","1","0","0","0","0.00","0","0","0","0","00:00","0.0","08:10","0","0","0","0","$0.75M","$0.75M","$0.75M"
"HUGH MCGING","","L","25","L","STL","1","0","0","0","0.00","0","0","0","0","00:00","0.0","09:37","0","0","0","1","$0.75M","$0.75M","$0.75M"
"JAN JENIK","","R","23","L","ARI","2","0","0","0","0.00","0","0","0","0","00:03","0.7","05:55","0","0","4","1","$0.75M","$0.80M","$0.90M"
"JOSH DUNNE","","C","24","L","CBJ","8","0","0","0","0.00","0","0","0","0","00:58","21.5","09:58","4","-6","6","1","$0.87M","$0.87M","$0.87M"
"DAVID JIRICEK","","D","19","R","CBJ","4","0","0","0","0.00","0","0","0","0","00:39","16.8","18:04","5","-4","2","3","0","$0.95M","$1.95M"
"FILIP KRAL","","D","23","L","","2","0","0","0","0.00","0","0","0","0","00:00","0.0","09:58","1","0","2","0","$0.83M","$0.81M","$0.81M"
"STEVEN FOGARTY","","R","30","R","MIN","2","0","0","0","0.00","0","0","0","0","00:40","13.1","10:19","0","0","0","1","$0.75M","$0.76M","$0.76M"
"SHELDON REMPAL","","R","28","R","VGK","1","0","0","0","0.00","0","0","0","0","00:00","0.0","07:44","0","-2","0","1","$0.75M","$0.76M","$0.76M"
"JAMIE DRYSDALE","","D","21","R","ANA","8","0","0","0","0.00","0","0","0","0","00:34","11.2","17:37","8","-3","2","3","$0.93M","$0.93M","$1.78M"
"LUCAS JOHANSEN","","D","25","L","WSH","2","0","0","0","0.00","0","0","0","0","00:00","0.0","12:40","3","0","0","1","$0.75M","$0.76M","$0.76M"
"WILLIAM DUFOUR","","R","21","R","NYI","1","0","0","0","0.00","0","0","0","0","00:00","0.0","06:48","0","-2","0","2","$0.84M","$0.86M","$0.93M"
"CONNOR BROWN","","R","29","R","EDM","4","0","0","0","0.00","0","0","0","0","01:38","29.1","16:46","2","-3","0","1","$4.00M","$3.60M","$3.60M"
"ALEX TURCOTTE","","R","22","L","L.A","4","0","0","0","0.00","0","0","0","0","00:01","0.3","06:59","2","-2","5","1","$0.93M","$0.89M","$2.44M"
"OWEN BECK","","C","19","R","MTL","1","0","0","0","0.00","0","0","0","0","00:09","2.5","09:48","0","-1","0","3","0","$0.92M","$0.95M"
"GABRIEL FORTIER","","L","23","L","T.B","1","0","0","0","0.00","0","0","0","0","00:00","0.0","08:25","0","0","0","1","$0.83M","$0.79M","$0.88M"
