"Name","Compare","Pos","Age","Shoots","Team","GP","G","A","PTS","PTS/GP","Season Pace","82GP Pace","GWG","PPP","PPTOI","%PP","TOI","SOG","+/-","PIM","Yrs","Sal","Caphit","AAV"
"ALEX NYLANDER","","R","25","R","PIT","9","1","1","2","0.22","2","18","0","0","00:05","1.6","12:18","11","1","6","1","$0.75M","$0.75M","$0.75M"
"HENRY THRUN","","D","22","L","S.J","8","0","2","2","0.25","2","21","0","0","00:55","17.8","19:52","7","-3","0","1","$0.90M","$0.91M","$1.03M"
"THOMAS HARLEY","","D","22","L","DAL","6","0","2","2","0.33","2","27","0","0","00:08","3.0","16:48","8","5","2","1","$0.83M","$0.86M","$1.29M"
"JONNY BRODZINSKI","","R","30","R","NYR","17","1","1","2","0.12","2","10","0","0","00:02","0.7","09:19","27","3","8","1","$0.75M","$0.76M","$0.76M"
"BECK MALENSTYN","","L","25","L","WSH","9","1","1","2","0.22","2","18","1","0","00:01","0.3","09:55","7","0","2","1","$0.75M","$0.76M","$0.76M"
"BRANDT CLARKE","","D","20","R","L.A","9","0","2","2","0.22","2","18","0","1","00:37","9.2","13:39","11","-1","6","3","0","$0.89M","$1.74M"
"OTTO KOIVULA","","C","25","L","NYI","8","0","2","2","0.25","2","21","0","0","00:51","19.0","06:52","5","1","4","1","$0.75M","$0.80M","$0.80M"
"SHANE WRIGHT","","C","19","R","SEA","8","1","1","2","0.25","2","21","0","0","00:24","6.7","08:29","4","4","2","3","0","$0.95M","$4.01M"
"MAC HOLLOWELL","","D","25","R","NYR","6","0","2","2","0.33","2","27","0","0","00:03","0.9","12:56","4","3","2","1","$0.75M","$0.75M","$0.75M"
"SPENCER STASTNEY","","D","23","L","NSH","8","0","2","2","0.25","2","21","0","0","00:00","0.1","17:37","9","5","2","1","$0.93M","$0.93M","$0.93M"
"THOMAS BORDELEAU","","C","21","L","S.J","8","0","2","2","0.25","2","21","0","0","01:55","37.2","15:14","9","-3","0","1","$0.93M","$0.92M","$0.93M"
"ZACK KASSIAN","","L","32","R","","51","2","0","2","0.04","5","3","0","0","00:00","0.0","09:09","25","-18","50","1","$3.50M","$3.20M","$3.20M"
"DANIL GUSHCHIN","","L","21","L","S.J","2","1","1","2","1.00","2","82","0","2","02:29","41.4","15:55","8","-1","0","2","$0.84M","$0.83M","$0.90M"
"VICTOR METE","","D","25","L","PHI","11","0","2","2","0.18","2","15","0","0","00:07","1.8","13:04","7","3","4","1","$0.75M","$0.75M","$0.75M"
"BRAYDEN PACHAL","","D","24","R","VGK","10","0","2","2","0.20","2","16","0","0","00:02","0.9","16:37","18","2","8","2","$0.75M","$0.75M","$0.75M"
"JUSTIN BRAUN","","D","36","R","","51","0","2","2","0.04","5","3","0","0","00:03","1.0","14:59","42","-1","19","0","$1.00M","$1.00M","$1.75M"
"LUKAS ROUSEK","","R","24","L","BUF","2","1","1","2","1.00","2","82","0","0","00:00","0.0","11:19","3","2","0","2","$0.83M","$0.83M","$0.83M"
