"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"149","Brock Nelson","NYI","C","82","1128.8333333333","24","24","14","10","48","67.61","143","16.78","16.17","260","190","185","94","14","35","22","11","11","0","0","18","30","40","46","64","34","422","469","47.36"
"160","Zach Hyman","EDM","L","79","1216.05","15","33","20","13","48","60.76","193","7.77","24.58","311","260","254","137","8","27","33","15","14","1","0","22","22","32","74","141","16","4","6","40.00"
"378","Alex Tuch","BUF","R","74","999.3","21","27","19","8","48","72.73","157","13.38","13.83","272","227","152","57","13","19","16","8","8","0","0","11","33","48","47","46","35","23","32","41.82"
"383","Jared McCann","SEA","L","79","968.98333333333","30","18","14","4","48","71.64","139","21.58","11.96","270","196","131","48","5","17","14","7","7","0","0","19","22","40","59","67","23","15","24","38.46"
"19","Anze Kopitar","L.A","C","82","1166.9333333333","17","29","16","13","46","76.67","121","14.05","13.47","210","174","134","70","13","16","4","2","2","0","0","8","35","35","57","77","67","590","459","56.24"
"874","Tim Stützle","OTT","L","78","1157.55","20","26","15","11","46","74.19","137","14.60","15.79","264","192","173","80","11","18","46","23","23","0","0","31","41","49","108","113","45","191","250","43.31"
"631","Nico Hischier","N.J","C","81","1067.5333333333","14","31","21","10","45","73.77","171","8.19","19.62","286","230","188","99","29","25","6","3","3","0","0","23","29","47","30","105","44","599","549","52.18"
"714","Brady Tkachuk","OTT","L","82","1105.7166666667","20","25","15","10","45","75.00","228","8.77","24.45","376","319","226","124","19","30","101","31","23","5","3","31","38","30","227","81","6","191","211","47.51"
"11","Evgeni Malkin","PIT","C","82","1123.8","15","29","20","9","44","83.02","154","9.74","15.54","241","193","155","74","13","24","72","28","26","0","2","22","72","75","45","89","28","394","408","49.13"
"77","Jordan Eberle","SEA","R","82","1105.75","16","28","21","7","44","66.67","149","10.74","13.82","256","204","162","57","9","16","32","15","15","0","0","9","28","52","37","61","23","26","33","44.07"
"258","Chandler Stephenson","VGK","C","81","1128.7166666667","7","37","22","15","44","74.58","77","9.09","9.31","131","103","86","46","8","14","20","6","5","0","1","16","21","51","62","108","44","468","341","57.85"
"437","Pavel Zacha","BOS","C","82","1022.8666666667","15","28","12","16","43","66.15","94","15.96","9.82","156","124","122","53","8","11","14","7","7","0","0","6","30","25","57","55","14","99","128","43.61"
